[3.025.040]
TEMPRESA            Tabela de Empresas
WCADIREZ            Zoom da Estrutura da Importação
WACOMPCOM           Acompanhamento do Pedido de Compra
WEXPOZOOM           Zoom Pedido Exportação
WEXPOZO1            Acabamentos Pedido Exportação
WPROCES4            Lista de Processos de Produção
WES03006            Extrato de Clientes - Inadimplência
WAFSSIGN            SINAL BALANÇO/BALANCETE
WQUALGRUPECO        Qualificações das Empresas
WFOCORR             Lista de Cadastro de Ocorrências
WFROCORR            Registro de Ocorrência
WFUNCMOBS           Observação Geral do Funcionário
WRELORCFIL          Relatório dos Orçamentos
WES05006            Lotes de Produção
WREQCOM7            Lista Para Liberação de OCs
WREQCOM9            Altera Status Ordens de Compra
WES05010            Relatório de Produtos INCI
WMUGERROT           Menu Gerenciamento Rotinas
WPEDIDO3            Espelho do Pedido
WES02801            Relatório de Pedido de Venda Variação de Acabamento
WES02008            Relatórios Pedidos de Venda
WES02802            Impressão Pedido Interno
WES05011            Relatórios de Produção
WPRJETICON          Consulta Lote/Etiqueta
WPRJ012             Marcar Etiquetas para Exclusão
WES05014            Transferência entre Depósitos
WITEMTIP            Lista de Tipos de Itens
WITEMTPZ            Zoom de Tipo de Item
WMUSPED             Menu Dados do SPED
WITEGEN             Lista de Gêneros dos Itens
WITEGENZ            Zoom de Gênero do Item
WPROCQUA            Lista de Controle Processos de Produção
WITESER             Lista de Serviços dos Itens
WITEGRU             Lista dos Grupos de Serviços dos Itens
WITESERZ            Zoom de Serviço do Item
WITEGRUZ            Zoom do Grupo de Serviço do Item
WES04001            Apuração Mista de IPI
WAPDIP02            Apuração de Proporcionalidade
WAPDIP05            Apuração de IPI em Período Diferenciado
WEFD001             Geração do SPED Fiscal
WSPED001            Lista de Notas Fiscais Eletrônicas
WGERASPED           Menu Geração Arquivos para SPED
WHISPROZ            Zoom do Histórico do Item
WES02009            Orçamento Especial
WORESTEX            Lista de Textos Padrões para Orçamento Especial
WTRIBPIS            Lista Situações Fiscais - PIS
WORESORC            Orçamentos Especiais
WTRIBCOF            Lista Situações Fiscais - COFINS
WCOMLIB6            Gráfico das Comissões
WORESOP2            Confirma Geração Pedido de Venda
WECD001             Geração do SPED Contábil
WORESOR1            Agrupar Pedido por Layout
WORESOR2            Agrupar por Layout Orçamento
WES11024            Tabela de Outros Créditos
WES11025            Tabela de Outros Débitos
WES11026            Tabela de Deduções
WORDEM11            Lista de Ordens de Produção
WNFREFEREN          Zoom das NFs Relacionadas
WPERDCO1MP          Lista das notas de Exportação - PER/DCOMP
WARQEXP             Geração de Arquivos de Exportação
WOPECOMTRI          CFOP's para Compensação de Tributos
WARQENT             Geração de Arquivos de Entrada
WPRJ014             Marcar Etiquetas Exclusão de Reportes
WNOTENT4            Lista de Notas de Entrada
WNOTAER             Zoom de Nota de Compra
WES04002            Geração arquivo COFIS
WCOMCTB3            Comparativo CTB ABC Composição
WDEMCTB3            Demonstrativo CTB Composição
WBSICREDI           Bloqueto de Cobrança / Banco SICREDI
WES05015            Impressão Lista de Corte Especial por Lote
WGESINAL            Geração para WS SINAL/SUFRAMA
WPFOFLOT            Passagem de Fases por OF em Lotes
WDESMOTIVOS         Lista de Motivos de Atualizações
WTELAF26            Dados Diversos - Cliente
WTIPOCOMP           Lista de Tipos de Pedido de Compra
WLTCORR             Lista de Tipos de Correspondências
WZTCORR             Zoom de Tipo de Correspondência
WCORREIO            Lista de Envio de Correspondências
WCORREIZ            Zoom de Controle de Envio de Correspondências
WTRFICMS            Lista de CFOP's p/ Transferência Crédito ICMS
WDEPALQTR           Lista de Alíquotas Transf. Crédito ICMS
WCLASSABC           Cálculo Classificação ABC dos Itens
WGERPLAM            Gera Plano Mestre MRP
WLISPLAM            Lista Geração Plano Mestre MRP
WDIPPER2            Apurações IPI
WES08027            DIC/SE
WCHEREM             Layout Arquivo Remessa Cheques em Depósito / Custódia
WFIMDIC             DIC FIM
WLOTSIT             Menu Relatório Situação do Lote Selecionado
WCOMOBSSIT          Observação da Situação Pedido de Compra
WEDIEMPRESAS        Lista de empresas com as quais existe integração
WES08028            TD-REDF/SP
WESA08028           TD-REDF Fim
WLOTEC11            Relatório Lotes X Em Produção
WBCEF               Bloqueto de Cobrança / Caixa Econômica Federal
WCONFEXCE           Lista de Configurações de Exceções
WEXCECOES           Cadastro de Exceções
WPEDCPINT           Pedidos Com Integração Configurador
WES03008            Acerto de Antecipações de Pedido de Compra
WCPPCLI             Clientes para Configurador
WES02011            Relatório de Pedido de Venda
WCOMICDES           Lista de Configuração de Comissões Cfe Desconto
WCONFCDES           Configuração de Comissões Cfe Desconto
WBSANTANDER         Bloqueto de Cobrança / Banco Santander
WETIMANUAL          Lista de NFs para Impressão Manual de Etiquetas
WES02012            Zera Informações referente IPI
WTIPOMAN            Tipos de Manutenção
WPRIOMAN            Prioridades de Manutenção
WSOLUMAZ            Soluções de Manutenção
WSOLUMAN            Soluções de Manutenção
WESPEMAN            Lista de Especialidades
WETIPEDMANU         Lista de Pedidos/Assistências para Impressão Manual de Etiquetas
WTECESMA            Lista de Técnicos x Especialidades
WSINTMAN            Sintomas / Anomalias Padrões de Manutenção
WTECESP             Lista de Técnicos x Especialidades
WORDANA             Dados Relatório Análise Ordem Manutenção
WMANPAD             Lista de Manutenções Padrões das Máquinas
WRORDMAN            Menu Relatórios Ordens Manutenção
WORDEMAN            Ordens de Manutenção
WORDMAUX            Auxiliar de Ordens de Manutenção
WMOTIVO             Motivos de Devolução de Cheques
WPRJ016             Geração Etiquetas da Expedição
WHISCUSTO           Histórico de Alterações de Custos dos Produtos
WRELCUSH            Relatório de Manutenções de Custos
WES05017            Menu Expedição
WES05018            Automatização dos Reportes da Produção
WES05019            Consulta Lote/Etiqueta
WES05020            Reporte Manual Automação de Reporte
WES05021            Lista dos Projetos da Expedição
WES05022            Escolha do Lote e Projeto
WES05023            Relação Etiquetas x Pedidos / Assitências
WES05024            Movimentos da Expedição
WES05025            Lotes de Embarque do Projeto
WES05026            Produtos do Lote de Embarque
WES05028            Checagem de Embarque
WES05029            Projetos com Pedidos
WESPUSUOUT          Usuários Subordinados
WMUREESP            Menu Relatórios Pedido
WBITAU              Bloqueto de Cobrança / Banco Itaú
WETIMNF             Reimpressão Manual das Etiquetas das NFs
WETIMPED            Reimpressão Manual das Etiquetas dos Pedidos/Assistências
WTELAF61            Consulta de Cliente / Fornecedor
WES02013            Consulta de Clientes Pela Tecla F6
WDEPOSI2            Lista de Depósitos para Seleção
WTELAF62            Itens de Notas
WTELAF63            Zoom das NF's dos Produtos
WRELCOM1            Relatório de Comissões sobre Notas
WPADRAO             Exemplo de Tela de FIltro Padrão
WTELAF65            Títulos de Notas
WLIGMEDCP           Ligações com Medidas Configurador
WTELAF68            Consulta de Clientes / Fornecedor
WTELAF69            Zoom NF de Compra
WFUNINFO            Menu Custo Financeiro
WFUNCI02            Lista de Funcionários
WDESPESA            Lista de Despesas
WOEIFPADES          Item Padrão ou Especial Orçamento Especial
WOEINCITE           Inclui Item Orçamento Especial - vários Produtos
WORENARRT           Narrativa Produto do Orçamento Especial
WOREVARIA           Variação Acabamentos Item Orçamento Especial
WPROCE14            Exclui Processos do Produto Orçamento Especial
WLOCALIFIL          Filtro Relatório Localização Prateleiras
WOEGERES            Gera Estrutura Orçamento Especial - vários Produtos
WLISTORES           Lista Orçamentos Especiais - vários Produtos
WES0117             Altera CFOP de pedidos Lunasa
WOREPREL            Relatórios Orc. Especiais - vários Produtos
WOERELSIN           Relatório Sintético (Resumido) Orçamento Especial - vários Produtos
WES05032            Modelo Especial de OF ES05032
WESTRUTC            Cálculo Peso do Produto
WSUCFOP2            Lista de Sugestões de CFOP´s
WOREGPED            Gera Pedido de Venda Orçamento Especial - vários Produtos
WSUCFOP5            Cópia de Sugestão de CFOP
WLISTOE             Lista de Orçamentos Especiais - vários Produtos
WFLOAT01            Cadastro de Dias de Floating
WZORCESPE           Zoom Orçamento Especial - vários Produtos
WNOTENTANT          Notas de Entrada Antigas
WES05033            Menu Relatórios Orçamentos Especiais - vários Produtos
WESOERELSIN         Relatório Sintético (Resumido)
WESOEREANA          Relatório Analítico (Detalhado)
WZITEPOE            Zoom Itens Padrão Orçamento Especial - vários Produtos
WESOERENIVI         Relatório de Orçamento de Custos
WPRJSITG            Filtros Situação Geral da Expedição
WPRJTEMB            Marca Lote de Embarque do Projeto
WDEVOL01            Gerar Notas de Devolução
WDEVOL03            Produtos para Devolução
WOERELANA           Filtro Relatório Analítico (Detalhado) Orc. Especiais
WIMPROM             Importação Pedido do Configurador
WDEVOL07            Lançar Notas de Devolução
WDEVOL08            Produtos para Devolução
WIMXML02            Seleção Arquivo XML
WES02014            Formação Preço de Venda - PROMOB
WMUCIAP             Menu Crédito de ICMS do Ativo Permanente
WAPURCIAP           Apuração do CIAP
WITEMORC            Lista de Produtos Orçados - Orçamento Especial vários Produtos
WALTPRACA           Formação Preços de Venda Acabamentos Promob
WITEENT             Manutenção Notas Fiscais de Entrada
WES05034            Fase Atual de OFs
WES03009            Extrato Bancário Plancus
WDEPBAN             Lista de Vínculos Depósiro x Bancos
WITESAI             Manutenção Notas Fiscais de Saída
WCFPCARAC           Lista de Características
WCFPCFCAR           Lista para Marcar Valores da Configuração
WCFPCONENTR         Confirma Valores da Entrada
WCFPCONFIG          Lista de Configurações
WCFPENT2            Informa Valores das Configurações
WCFPENTRADA         Lista de Modelos Configurados
WCFPFORMULA         Lista de Fórmulas
WCFPMARCA           Escolhe Item para Gerar Orçamento
WCFPMOD2            Informa Dados Quantidade Variável
WCFPMODELO          Lista de Modelos
WCFPTPPROD          Lista de Tipos de Produto
WCFPVLCONF          Valores da Configuração
WCFPZCARAC          Zoom da Característica
WCFPZENTRADA        Zoom do Cadastro de Entradas
WCFPZFORMULA        Zoom do Cadastro de Fórmulas
WCFPZMODELO         Zoom do Cadastro de Modelo
WMUCFP              Menu Configurador de Produto
WPASFACOM           Passagem de Fase e Complemento
WBBRADESCO          Bloqueto de Cobrança / Banco Bradesco
WMUGECOMP           Gestão de Compras
WCADREL             Relatórios das Estruturas
WES05035            Modelo 04 Pai e Componentes
WGRUCOMT            Grupos Comerciais
WPGRUEXC            Exclui Grupos Comerciais Subgrupos e Produtos
WLISELE             Lista dos Elementos
WACABCONF           Lista de Acabamentos dos Produtos Configurados
WTRIBISSQN          Lista Situações Tributárias - ISSQN
WEXPNFE01           Exportação de NFS-e
WCIAP               Menu Crédito ICMS - Imobilizado
WEXPNFE6            Importação de NFS-e
WLYPCORT            Layout Exportação Plano de Corte
WNENT40             Cálculo IRRF/INSS/ISSQN NF's de Entrada
WES05037            Lista Compras para Alterar Situação
WES05038            Situação do Pedido de Compra
WEFP001             Geração da Escrituração Fiscal PIS / COFINS
WPARCREPIS          Parcelas de Crédito de PIS/COFINS
WES02017            Auxiliar ao ES02016
WES02016            Lista Venda para Alterar Situação
Walexan2            alexan2
WES02018            Pedidos de Venda Otimizado
WDEFMED             Define Medidas Acabamentos Configurados
WES05039            Controle de Produtividade por Funcionário
WGERFICPRO          Geração/Impressão Ficha Produtividade
WLISREGPROD         Lista de Registro de Produtividade por Funcionário
WCONPROPED          Lista de Pedidos Controle de Produtividade
WFILRELPROD         Filtro para Relatório Produtividade por Funcionário
WACABREGRA          Cadastro de Regras dos Acabamentos
WPRJETIMOV          Etiquetas do Movimento da Expedição
WBCOREMZ            Zoom do Layout Arquivo Remessa
WAPPIS02            Apura PIS/COFINS/CSLL
WCOPRPAD            Copiar Processo Padrão
WAPPIS06            Lista de Contas Contábeis para Apuração de PIS/COFINS/CSLL
WPROCALT            Lista de Processos Alternativos
WLISPROC            Lista Simples de Processos de Produção
WZPROCALT           Zoom Processos Alternativos
WOENOVER            Criar Nova Versão de Orçamento
WEXCOEVER           Exclusão Orçamento Especial - vários Produtos
WSIMUEXP            Simulação Pedidos e Assistências na Expedição
WAPPIS12            Observação para Impressão na Apuração
WAPPIS14            Apuração PIS/COFINS/CSLL - Não Cumulativo
WLIVCIAP            Livro CIAP
WPRJETIPED          Reimpressão das Etiquetas do Pedido / Assistência
WCALINST            CFOPs p/Cálculo Independente de ICMS-ST
WUMGRMAQ            Temporário Marca Grupo de Máquinas
WVALIDCUSTO         Atualiza Data de Validade dos Custos
WEFP1010            Lista dos Registros 1010
WRESPROR            Lista Reservas de Processos das Ordens
WFRESPRC            Filtros Relatório Reservas Processos
WINCPALT            Inclusão de Processos Alternativos
WPROCALP            Lista Processos de um Produto
WZPRALTOP           Zoom Processos Alternativos por Opção
WEXCPALT            Exclusão Processos Alternativos
WGRPROCALP          Grupos de Processos Alternativos
WPROCAL2            Lista de Processos Alternativos
WHAPCMAQ            Cadastro de Horas Adicionais Plano de Carga Máquina
WMANORD             Manutenção de Ordens na Composição
WCOMPINF            Informa Alterações na Composição
WBALDPLAN           Relatórios Demonstrativos em Planilhas
WLOTEXEC            Cadastro de Lotes de Execução
WBALDZOOM           Zoom da Composição do Demonstrativo
WBALDBALAN          Selecionar Posição do Balanço / Balancete
WAPPIS19            Apuração PIS/COFINS/CSLL - Cumulativo
WCONTRMQ            Confirma Transferência de Carga
WTRANMAQ            Transferência de Carga por Máquina
WAPPIS20            Escolha do Tipo de Imposto para Relatório de Apuração
WTRANPROSE          Seleciona Tipo de Processo a Listar
WCONTRAL            Confirma Transferência Carga Cfme Processos Alternativos
WBAC0186            Ajusta Dimensões de Estrutura Cfme Dimensões Cadastro Produtos
WTRAPROC            Transferência de Carga por Processos
WSELTRAN            Modo de Transferência de Carga
WFILGRAF            Filtros Gráficos Carga Máquina
WOPGRAF             Opções de Gráfico Carga Máquina
WPRIORCM            Critérios de Priorização do Plano de Carga Máquina
WCRITPCM            Critérios Plano de Carga Máquina
WCALCMAQ            Cálculo Plano de Carga Máquina
WLISCMAQ            Lista de Planos de Carga Máquina
WCOMPCAR            Composição de Carga Máquina
WMANLEX             Manipula Lote de Execução
WPLANCAR            Relatório Plano Carga Máquina
WRESPLAN            Processos para Reserva de Planilhamento
WCHEREMZ            Zoom do Layout Arquivo Remessa Cheques
WPROCAL3            Lista de Processos Alternativos
WALTPRIMAN          Alterar Quantidade e Priorização
WPROEMB             Produtos Embalagem
WES03010            Gera Planilha dos Títulos
WREMACAB            Lista de Regras de Markup para Acabamentos
WCALVLAC            Filtros para Cálculo de Valor de Acabamento Configurado
WVLACATU            Atualização Valores dos Acabamentos
WZREMACAB           Zoom Regras de Markup para Acabamentos
WPROEMBF            Filtro Relatório Embalagem
WES11027            LEX
WES11029            DAE- Documento de Arrecadação Estadual
WES11032            IDA - Inscrições na Dívida Ativa
WCTIREL             Relatório de Lançamentos Exportados
WINDCOT             Alimentação de Indicadores
WTELAAUXILIAR       Auxiliar
WTELACONTABIL       Contábil / Patrimonial
WTELACUSTOS         Custos
WTELAENG            Engenharia
WTELAESTOQUE        Compras Estoque
WTELAFISCAL         Fiscal
WTELAGERENCIAL      Gerencial
WTELAINDUSTRIAL     Industrial
WTELAORCA           Orçamentos
WTELAVENDAS         Vendas
WZFROCORR           Zoom do Registro de Ocorrência
WZINTMATR           Zoom de Matrizes Integração Contabilidade
WZPERDCOMP          Zoom de Compensação de Tributos
WZPERDDCOMP         Zoom de Tabela de Compensação de Tributos
WPROEMBP            Filtros do Relatório de Embalagens
WPROEMBASS          Tela Filtro Embalagem Assistência
WPROEMBORC          Filtros do Relatório de Embalagens
WASSMREL            Menu Relatório de Assistências
WES05041            Reporte por Período / Funcionário
WTELAQUALIDADE      Qualidade
WZTPTABPR           Zoom do Tipo Tabela de Preços
WTELAADMIN          Administrativo Financeiro
WES05042            Gera Relatório do Configurador de Produtos
WPRJVFORM           Fórmulas e Observações para Volumes das Embalagens da Expedição
WEXPROM             Exportação Valores Promob
WELYEXPV            Lista de Layout Etiqueta de Volumes da Expedição
WPRJVOLUM           Projeto dos Volumes das Embalagens da Expedição
WPRJVOLEXP          Projeto dos Volumes das Embalagens da Expedição
WUMPRETI            Marcar Pedidos e Assistências
WLAVULSO            Lançamento Avulso
WNOTASWR            Zoom de Nota de Saída
WNOTAS3             Lista de NF´s de Saída
WNSU10              Emissão Automática de Duplicatas em Formulário Próprio
WZOHAPMAQ           Zoom Horas Adicionais Plano de Carga Máquina
WFCONT01            Geração do FCONT - Controle Fiscal Contábil de Transição
WPRJVOLRE           Reimpressão Etiquetas dos Projetos dos Volumes
WESPECIE            Lista de Espécies de Documentos
WPRJVOLZ            Zoom de Projeto dos Volumes das Embalagens da Expedição
WEMBPEDNF           Controle de Movimentação de Embalagens
WEMBMENUR           Menu de Relatórios das Embalagens
WPRJVOLMV           Etiquetas do Movimento da Expedição
WPRIOPREVP          Prioridades das Previsões de Entrega do Pedido
WNUSEPRO            Números de Série dos Produtos em Estoque
WNUMSERIE           Números de Série
WNUSEPED            Números de Série nos Pedidos
WNUSEORD            Números de Série nas Ordens de Produção
WNUSEASS            Números de Série nas Assistências
WZNSPED             Zoom de Números de Série do Pedido
WNUSE003            Números de Série da Nota de Entrada
WZNSASS             Zoom de Números de Série da Assistência
WNUSE007            Zoom de Números de Série da Nota
WNUSE010            Números de Série da Nota de Dev.
WSELPAINS           Seleciona Produto Pai Requisição Numero de Série
WSELNSREQ           Seleciona Números de Série Requisição
WZNSORD             Zoom de Números de Série da Ordem
WNSDEVOL            Devolução de Números de Série
WNUSEPER            Números de Série das Perdas
WCFPEXCECAO         Lista de Exceções
WCFPCONMOD          Configurações do Modelo
WCFPOPEXC           Lista para Marcar Opções da Configuração
WCFPZEXCECAO        Zoom do Cadastro de Exceções
WNUSEPR1            Incluir Número de Série
WNUSEINV            Números de Série dos Produtos em Inventário
WNUSEOR1            Incluir Número de Série nas Ordens
WNUSEPE1            Incluir Número de Série Pedido
WNUSEIN1            Incluir Número de Série
WZNSPRO             Zoom de Números de Série do Produto
WES05043            Especial Relatório Estrutura Sintetizada com Narrativas
WNUSE014            Números de Série da Nota de Saída
WNUSEAS1            Incluir Número de Série Assistência
WZGARTIP            Zoom de Tipo de Movimento de Garantias
WGARTIPO            Lista de Tipos de Movimentos de Garantias
WGARITEM            Lista de Itens dos Movimentos de Garantias
WGARMOV             Arquivo Movimentos de Garantias
WZGARITE            Zoom da Lista de Itens com Garantia
WZGARMOV            Zoom de Movimento de Garantia
WRELGAR             Relatório de Movimentos de Garantias
WGARMOVI            Lista de Movimentos de Garantias
WNUSE017            Lista de Números de Série
WVEIEMP             Veículos da Empresa
WCSMONT             Controle da Situação da Montagem
WCMONTADOR          Controle de Montadores
WCCMONT             Controle do Coordenador da Montagem
WCEMONT             Controle da Equipe de Montagem
WNUSE021            Informa Números de Série Requisição
WCAMONTAGEM         Controle de Atendimento / Montagem
WCAMDISP            Verifica Disponibilidade
WCAMSITUA           Altera Situação do Atendimento / Montagem
WCAMFREL            Filtros Relatório Controle Atendimento / Montagem
WCAMONTZ            Zoom do Atendimento / Montagem
WLTLY65             Filtros Relatório Modelo 19 - OF Pai + Componentes 1º Nível
WES05044            Lista de Ordens para Compra
WXMLCON             Lista de Condições XML Importação Promob
WXMLINFO            Lista de Informações XML Importação Promob
WCFOPCOM            Lista de Relação CFOPs x Condições de Pagamento
WES02019            Importação de Cupons Fiscais e Redução Z
WIMPO001            Escolha de Dados para Importação
WIMPO055            Confirmar Arquivo de Importação
WTOQCOM             Lista de Relação Transações de Estoque Fabril x Comerx
WZCFOPCOM           Zoom da Relação CFOP x Condição de Pagamento
WZTOQCOM            Zoom da Relação de Transação de Estoque Fabril x Comerx
WVERPROM            Verifica Valores Arquivo Projeto Promob
WCEMONTZ            Zoom da Equipe de Montagem
WZLYXMLPRO          Zoom Layout XML Importação Promob
WCEMCORD            Equipes do Coordenador
WZLYXMLCON          Zoom Condição de Informação Layout XML Promob
WXMLINF2            Lista de Informações XML Importação Promob
WZPERDAS            Zoom de Perdas de Produção.
WZPERDENT           Zoom de Outras Perdas/Entradas.
WCBARDEPO           Lista Relação Código de Barras X Depósito
WZCBARDEPO          Zoom Relação Código de Barras X Depósito
WDIME01             DIME - Declaração de Informações do ICMS e Movimento Econômico
WDIME03             Lista de Contribuintes
WREPORT1            Lista de Reportes
WEFPBC              Relção CFOP x Tipo da Base de Cálculo dos Crédito
WSGIMCAD            Marca Subgrupo para Importação CAD
WPASFAS3            Lista de Passagem de Fases
WPASFS6             Passagem de Fases Conforme Lista
WES05049            Simulação de Plano de Corte
WLISIMXLS           Lista de Arquivos Excel
WNFES05             Informações para NFe de Estorno
WCFOPESTORNO        Lista de CFOP´s de Estorno
WFBOLETO            Filtros para Emissão de Boletos
WLBOLETO            Lista de Boletos por Arquivo Configuração/Web Service
WZBOLETO            Zoom dos Parâmetros da Emissão dos Boletos
WFRETFUN            Filtro Retiradas por Funcionário
WEVENOTA            Eventos da NFe
WTIPEVENTO          Tipos de Eventos da NFe
WEFDH020            Lista de Registros H020
WPROCQU2            Zoom de Controle dos Processos de Produção
WPLANILEX           Lotes de Execução
WAPC01              Lista de Apurações de  PIS/COFINS/CSLL do Tipo Cumulativo por Regime de Caixa
WAPC02              Apuração de PIS/COFINS/CSLL do Tipo Cumulativo por Regime de Caixa
WAPC05              Apuração de PIS/COFINS/CSLL do Tipo Cumulativo por Regime de Caixa
WPLANILPP           Passagem de Processos
WLINCONF            Lista de Linhas de Produtos Configurador
WSELVARCON          Seleciona Variação Acabamento Configurador
WZLINCONF           Zoom de Linhas Produtos Configurador
WGIA01              GIA ICMS/PR - Guia de Informação e Apuração do ICMS
WGIA10              Lista dos Valores Apurados para GIA ICMS/PR
WGIACFOP            Lista de CFOP's para Geração da GIA ICMS/PR
WGIADADCON          Lista dos Contribuintes para Geração da GIA ICMS/PR
WPRORANDIM          Range de Dimensões para Eixos do Produto
WIMCTE02            Seleção do Arquivo XML de CT-e
WCONVERSAOZ         Zoom da Conversão de Unidades de Medida
WES05045            Modelo Especial - OF Produto Pai e Componentes/Estrutura 1º Nível
WASSIEXC            Assistência Técnica
WDFC01              DFC/GI - ICMS/PR - Declaração Fisco Contábil e Guia de Informação das Operações e Prestações Interestaduais do ICMS
WDFC99              Lista dos Valores Apurados para DFC/GI - ICMS/PR
WDFCCFOP            Lista de CFOP's para Geração da DFC/GI - ICMS/PR
WDFCDADCON          Lista dos Contribuintes para Geração da DFC/GI - ICMS/PR
WES01001            Definições Relatório Margem Por Produto Vendido
WCFOPTIT            Lista de CFOP's que Somam ICMS-ST nos Títulos
WPRJ190             Seleção de Impressão de Etiquetas das Embalagens
WES05053            Análise de Custo do Produto
WLOTECA4            Lista de Lotes de Carga
WES08029            SEF II / PE
WLISNSERIE          Lista de Números de Série
WRELNSERIE          Relatório de Números de Série
WES05054            Modelo 14 Especial - OF Produto Pai e Componentes/Estrutura 1º Nível
WHISEMPZ            Zoom do Histórico da Empresa
WPGEFILTIT          Remessa de Títulos para Pagamento Eletrônico
WPGELREM            Layout Arquivo Remessa dos Pagamentos Eletrônicos
WPGELRET            Layout Arquivo Retorno dos Pagamentos Eletrônicos
WPGEMARTIT          Marcação de Títulos para Pagamento Eletrônico
WPGEMSGDEL          Confirmar Exclusão
WPGERELTIT          Filtros para Relatório de Títulos em Pagamento Eletrônico
WPGEREMCOP          Cópia do Layout Arquivo Remessa dos Pagamentos Eletrônicos
WPGEREMSEL          Selecionar Layout de Arquivo Remessa de Pagamentos Eletrônicos
WPGEREMZOOM         Zoom do Layout Arquivo Remessa dos Pagamentos Eletrônicos
WPGERETORNO         Retorno de Títulos em Pagamento Eletrônico
WPGERETSEL          Selecionar Layout de Arquivo Retorno de Pagamentos Eletrônicos
WPGERETZOOM         Zoom do Layout Arquivo Retorno dos Pagamentos Eletrônicos
WPGETIT2            Títulos em Pagamento Eletrônico
WPGETITULOS         Títulos em Pagamento Eletrônico
WPGETITZOOM         Zoom do Título em Pagamento Eletrônico
WTITCODBAR          Código de Barras do Título
WREQUI8             Confirma Requisições Por Lote
WREQUILO            Requisições Por Lote
WPGEALTIT           Alteração do Título para Pagamento Eletrônico
WDEVSIMP            Lista de CFOPs para Tratativa do Simples com ICMS
WIMXCT02            Seleção Arquivo XML de CT-e
WCOMPR13            Vínculo Pedido de Compra a Pedido de Venda
WMRPII29            Necessidades do Calendário (MRPII) por Pedido
WPLANO58            Definições Agendamento de Cálculo MRP
WPLANO63            Alteração da Descrição do Planejamento
WPLANO64            Necessidades por Pedido de Venda
WEXCDEPC            Exclusão de Depreciações
WGCONTABIL          Lista de Grupo/Subgrupo x C.Contábil
WREMANPAD           Replicação de Manutenções Padrões das Máquinas
WSOLMANPAD          Solicita Novo Código de Manutenção Padrão de Máquina
WHASHATU            Atualização do Código Hash para Estruturas
WCFOPRETISS         Lista de CFOP's para Retenção de ISSQN
WZGARARQ            Zoom de Movimento de Garantia Arquivos
WES05055            OF's do Lote por Fase Cfe. Processo Produção
WBAC0340            Ajusta Pedidos de Venda em Aberto
WDIPJ001            DIPJ - Declaração de Informações Econômico Fiscais de Pessoa Jurídica
WDIPJCFOP           Lista de CFOP para Geração da DIPJ
WZCAMOHIST          Zoom da Observação da Montagem
WPRJ194             Excluir Pedido do Projeto
WPRJ195             Excluir Embalagens
WES12001            Alterações de Dados Fiscais
WRECATIV            Demonstração Receita por Atividade
WCONFIPIICMS        Conferência IPI/ICMS
WCONFPISCOF         Conferência PIS/COFINS
WVEREST2            Onde Item é Usado
WVEREST3            Lista de Versões da Estrutura
WVEREST4            Lista de Estrutura Conforme Versão
WVEREST5            Criar Nova Versão de Estrutura
WVERESTRUT          Lista de Estruturas de Produtos por Versão
WMANPDR             Lista de Manutenções Padrões
WSOLMPDR            Cópia de Manutenção Padrão
WVEREST6            Relatório Estrutura Nível a Nível
WES04008            Correção do Valor Original do Bem e da Depreciação
WBLOQNF             NFs Bloqueadas
WFILPRJVOLUM        Relatório de Formação de Volumes/Embalagens
WES02021            Impressão Resumida do Pedido
WDCIP               DCIP - Demonstrativo de Créditos Informados Previamente
WZDOCSIMPLES        Zoom do Crédito ICMS - Simples Nacional
WACABCOP            Cópia de Variações de Acabamento
WCRPISCOF           Crédito de PIS/COFINS - Imobilizado
WES10002            Substituição de Fases de Produção
WMARCASIT           Tela de Marcação das Situações
WRASTRANS           Rastreabilidade da Movimentação de Transferência
WPLANOC1            Lista de Plano de Contas
WCOTA13             Pedidos de Compra da Cotação
WCOTA17             Cotações a Considerar
WCOTA18             Comparativo de Cotações
WCOTA19             Gera Pedido de Compra
WCOTA22             Filtros Comparação Otimizada Cotação
WCOTA08             Envio Otimizado de Cotações
WLTLY040            Materiais com Medidas/Requis. por Fase+Grupo Nível 1
WNFENOTAS           Integração com GNFe
WCTRIB              Lista de Cargas Tributárias
WIMPCTRIB           Importação de Cargas Tributárias
WLCLASSI            Lista de Classificações Fiscais
WES07001            Lista de Orçamentos Especiais Simplificado
WORENATUR           Lista de Naturezas Orçamento Especial
WORENATZ            Zoom de Natureza Orçamento Especial
WORES004            Lista de Produtos Ambiente Orçamento Especial Simplificado
WORES010            Lista de Itens Orçamentos Especiais
WORES021            Lista de Custos / Despesas do Item
WORES022            Consulta Valores Produtos Orçamento Especial Simplificado
WFCI                FCI - Ficha de Controle de Importação
WPROCE26            Atualizar Tempos dos Processos Conforme Operações
WPROCE27            Lista de Operações Padrão
WORES016            Cadastro de Naturezas Orçamento Especial Simplificado
WCTBREGRAS          Regras Balancetes / Balanços - Multiempresa
WCRESIMPLES         Crédito ICMS - Simples Nacional
WBDPREACTOR         Configuração do Banco de Dados Exportação PREACTOR
WES05056            Exportação PREACTOR
WORES051            Lista de Orçamentos Simplificada
WORES055            Seleciona Naturezas a Serem Marcadas
WJUS002             Lista de Justificativas de Compras
WTABPR17            Condições de Pagamento Cfme Tipo Tabela Preços
WES05057            Impressão Etiquetas dos Lotes - Quantidade por Etiqueta
